,Id,CreatedDate,Description,NumberOfEmployees,Name,OwnerId,BillingAddress,BillingCity,BillingCountry,BillingCountryCode,BillingLatitude,BillingLongitude
11,0056T000000ZWQLqaE,2024-10-31 04:09:43.000,ipso lorum,5583,Microsoft,0056T000000ZcHCqaA,"5420 Sherry Stravenue Apt. 567 Port Carolinemouth, NH 31518",Port Carolinemouth,United States,US,22.734117,30.881777
12,0056T000000Zwgyqac,2024-10-30 11:37:18.000,ipso lorum,9439,Apple,0056T000000ZqAQqaA,"77211 Theresa Well Apt. 394 Rachaelborough, SC 87481",Rachaelborough,United States,US,21.822643,-152.841381
13,0056T000000ZRyhqag,2024-11-03 13:22:34.000,ipso lorum,4392,HubSpot,0056T000000ZCvxqag,"8048 Jennifer Union Tammyport, FM 05274",Tammyport,United States,US,4.1663585,-6.473512
14,0056T000000ZKqHqaw,2024-11-02 01:10:43.000,ipso lorum,5102,Innovate Marketing Partners,0056T000000ZqAQqaA,"35506 Richard Drives Suite 782 New Norman, CO 82469",New Norman,United States,US,73.397568,-78.169303
15,0056T000000ZbbTqas,2024-11-03 16:02:00.000,ipso lorum,4832,Pixel Perfect Marketing,0056T000000ZxDrqak,"7464 Gonzalez Flat Suite 354 South Marilynfurt, MA 28220",South Marilynfurt,United States,US,-76.350909,60.709473
16,0056T000000Ztpkqac,2024-10-31 02:40:41.000,ipso lorum,7963,Innovate Marketing Partners,0056T000000ZCvxqag,USCGC Long FPO AA 68675,FPO AA 68675,United States,US,-51.3043405,22.582559
17,0056T000000ZeNRqaA,2024-11-01 18:06:31.000,ipso lorum,8817,Dynamic Engagements,0056T000000Zijiqac,"3171 John Way Apt. 646 Perezland, MO 54289",Perezland,United States,US,51.220668,71.800844
18,0056T000000ZBuyqag,2024-11-02 22:22:07.000,ipso lorum,5171,Apple,0056T000000ZSMXqaE,"89344 Richard Plains North Kara, IA 99132",North Kara,United States,US,16.346378,-75.868245
19,0056T000000ZoOPqaA,2024-11-03 23:00:27.000,ipso lorum,1055,BrightSpark Strategies,0056T000000ZPNYqaE,"7388 Ronald Highway Kimberlyshire, NH 21378",Kimberlyshire,United States,US,-63.396514,156.300434
20,0056T000000Zhinqac,2024-10-31 06:46:33.000,ipso lorum,7704,Facebook,0056T000000ZmNyqak,"059 Patricia Squares Apt. 408 Lake Alicia, SC 42613",Lake Alicia,United States,US,-11.0745895,82.006030
21,0056T000000ZvyJqas,2024-11-01 07:58:24.000,ipso lorum,8385,Catalyst Marketing Group,0056T000000ZvsKqas,"101 Richard Mountains Suite 154 North Amandachester, MS 56312",North Amandachester,United States,US,61.8761395,-8.558887
22,0056T000000ZzHKqaA,2024-10-27 21:24:41.000,ipso lorum,2985,NextGen Promotions,0056T000000ZguIqas,"54635 Morgan Parkways Suite 020 South David, NM 43411",South David,United States,US,-23.509994,51.417579
23,0056T000000ZSGqqao,2024-10-28 04:15:58.000,ipso lorum,5144,BrandBoost Agency,0056T000000ZIroqag,"42148 Derrick Expressway Suite 609 West Patriciamouth, NM 99856",West Patriciamouth,United States,US,88.712107,159.078655
24,0056T000000ZqCfqak,2024-10-27 15:40:09.000,ipso lorum,2861,Vivid Vision Media,0056T000000ZDCEqaE,Unit 0562 Box 7469 DPO AP 86681,DPO AP 86681,United States,US,48.8934435,136.879153
25,0056T000000ZlvTqas,2024-10-31 09:07:38.000,ipso lorum,2248,Amazon,0056T000000ZguIqas,"9783 Paul Overpass Apt. 613 Taylorhaven, SC 42015",Taylorhaven,United States,US,78.5372285,92.778558
26,0056T000000Zlczqac,2024-11-04 01:12:35.000,ipso lorum,8198,Catalyst Marketing Group,0056T000000ZvsKqas,"18238 Maria Fords Suite 932 Russoberg, NJ 78608",Russoberg,United States,US,-62.6387005,-166.017182
27,0056T000000ZXXgqao,2024-10-31 11:48:29.000,ipso lorum,1382,Vivid Vision Media,0056T000000ZPCZqaE,"686 Amy Forges Apt. 114 Blakeville, ND 44724",Blakeville,United States,US,-3.0938455,40.786979
28,0056T000000ZOxnqag,2024-11-04 10:25:32.000,ipso lorum,5032,Innovate Marketing Partners,0056T000000ZIroqag,"745 Jones Throughway Apt. 985 South Aaronside, AZ 25346",South Aaronside,United States,US,-76.031932,-29.160753
29,0056T000000ZgqNqas,2024-10-31 04:26:57.000,ipso lorum,5565,EchoWave Marketing,0056T000000Zijiqac,"70583 Warren Keys Apt. 272 South Jennifer, MO 08588",South Jennifer,United States,US,42.085304,28.328314
30,0056T000000ZiUKqaA,2024-10-29 07:31:42.000,ipso lorum,2083,Fusion Strategies,0056T000000ZcHCqaA,"712 Collier Street East Sethport, MA 37584",East Sethport,United States,US,-27.2774695,27.128153
31,0056T000000ZZlEqaw,2024-10-29 05:14:19.000,ipso lorum,3996,NextGen Promotions,0056T000000ZsBcqak,"8743 Ronald Ford Marychester, NM 15633",Marychester,United States,US,-22.8547235,-74.617203
32,0056T000000ZMREqaE,2024-10-28 14:53:38.000,ipso lorum,5610,Innovate Marketing Partners,0056T000000ZuRDqaA,"632 Daniel Mall Ellistown, SC 65163",Ellistown,United States,US,-43.3435375,-81.935063
33,0056T000000ZnFiqak,2024-10-30 12:08:21.000,ipso lorum,5396,BrandBoost Agency,0056T000000ZDCEqaE,"11495 Barber Plaza Apt. 507 New Alexville, MH 41507",New Alexville,United States,US,15.2587255,38.263326
34,0056T000000ZleAqas,2024-10-28 00:22:58.000,ipso lorum,1277,BrightSpark Strategies,0056T000000ZIhcqag,USS Adams FPO AA 49355,FPO AA 49355,United States,US,7.321394,149.541987
35,0056T000000ZiaVqas,2024-11-03 18:14:25.000,ipso lorum,7178,AdVenture Media,0056T000000ZuRDqaA,"0859 Eric Lodge Suite 474 Helenberg, HI 80015",Helenberg,United States,US,-26.3665975,160.204178
36,0056T000000ZPyrqag,2024-11-04 22:13:38.000,ipso lorum,9513,Vivid Vision Media,0056T000000ZvsKqas,"8278 Johnson Crossroad Apt. 051 Jessicastad, MT 46397",Jessicastad,United States,US,78.981994,119.839967
37,0056T000000ZhPHqaA,2024-10-30 02:11:18.000,ipso lorum,2927,PulsePoint Marketing,0056T000000ZsBcqak,Unit 1728 Box 5227 DPO AA 42083,DPO AA 42083,United States,US,-61.2942585,169.692249
38,0056T000000ZDjfqag,2024-11-01 10:13:21.000,ipso lorum,6456,Skyline Advertising,0056T000000ZxDrqak,"90532 Colleen Circle Suite 130 Johnview, MS 17785",Johnview,United States,US,-55.469264,173.770735
39,0056T000000ZHMIqaE,2024-11-03 10:37:15.000,ipso lorum,4951,Creative Pulse Agency,0056T000000Zfvlqac,"9154 Kim Summit Scottton, SD 53094",Scottton,United States,US,9.1699705,-118.357621
